log_line,label
Apr 01 01:59:22 appserver03 sshd[9448]: Accepted password for alice from 192.168.1.22 port 52594 ssh2,after_hours_login
Apr 01 10:23:35 dbserver02 pam_unix(sshd:session): session opened for user eve(uid=1000) by (uid=0),normal
Apr 01 13:06:55 appserver03 pam_unix(sshd:session): session opened for user eve(uid=1000) by (uid=0),normal
Apr 01 11:52:09 dbserver02 CRON[7406]: pam_unix(cron:session): session opened for user eve(uid=1000) by (uid=0),normal
Apr 01 14:46:59 appserver03 pam_unix(sshd:session): session opened for user frank(uid=1000) by (uid=0),normal
Apr 01 22:24:49 appserver03 sshd[7559]: Accepted password for dave from 192.168.1.23 port 63300 ssh2,normal
Apr 01 11:40:29 webserver01 pam_unix(sshd:session): session opened for user alice(uid=1000) by (uid=0),normal
Apr 01 16:16:14 appserver03 sshd[6840]: Accepted password for dave from 192.168.1.27 port 41239 ssh2,normal
Apr 01 19:37:37 dbserver02 pam_unix(sshd:session): session closed for user carol,normal
Apr 01 20:25:10 webserver01 sshd[3416]: Accepted password for grace from 192.168.1.21 port 55092 ssh2,normal
Apr 01 12:32:19 appserver03 systemd-logind[407]: New session 204 of user dave.,normal
Apr 01 18:19:59 dbserver02 CRON[8079]: pam_unix(cron:session): session opened for user alice(uid=1000) by (uid=0),normal
Apr 01 22:36:48 appserver03 su[4410]: FAILED su for root by alice,su_failure
Apr 01 17:32:00 webserver01 sshd[9891]: Accepted password for carol from 192.168.1.26 port 48714 ssh2,normal
Apr 01 16:08:49 dbserver02 sshd[1546]: Accepted password for frank from 192.168.1.12 port 62021 ssh2,normal
Apr 01 14:59:06 webserver01 sshd[4704]: Accepted password for root from 185.220.101.34 port 51441 ssh2,root_login
Apr 01 11:20:35 webserver01 sshd[5787]: Accepted password for frank from 192.168.1.22 port 49808 ssh2,normal
Apr 01 19:59:10 appserver03 sshd[7664]: Accepted password for alice from 192.168.1.20 port 53922 ssh2,normal
Apr 01 12:10:18 dbserver02 systemd-logind[439]: New session 232 of user dave.,normal
Apr 01 06:13:50 appserver03 sshd[4556]: Accepted password for dave from 192.168.1.29 port 50493 ssh2,normal
Apr 01 13:53:30 webserver01 pam_unix(sshd:session): session opened for user alice(uid=1000) by (uid=0),normal
Apr 01 14:56:18 webserver01 sshd[8538]: Accepted password for root from 103.253.41.98 port 58754 ssh2,root_login
Apr 01 09:48:49 dbserver02 sshd[8989]: Accepted password for eve from 192.168.1.11 port 60619 ssh2,normal
Apr 01 18:03:51 appserver03 sshd[3208]: Accepted password for dave from 192.168.1.10 port 48498 ssh2,normal
Apr 01 09:11:17 dbserver02 pam_unix(sshd:session): session opened for user eve(uid=1000) by (uid=0),normal
Apr 01 22:26:26 dbserver02 pam_unix(sshd:session): session closed for user dave,normal
Apr 01 18:29:30 webserver01 pam_unix(sshd:session): session closed for user eve,normal
Apr 01 13:58:10 dbserver02 sshd[3052]: Accepted password for frank from 192.168.1.21 port 42997 ssh2,normal
Apr 01 07:30:19 appserver03 pam_unix(sshd:session): session closed for user grace,normal
Apr 01 10:43:30 webserver01 sshd[9489]: Accepted password for grace from 192.168.1.14 port 40763 ssh2,normal
Apr 01 19:57:21 dbserver02 sshd[7622]: Accepted password for dave from 192.168.1.22 port 45472 ssh2,normal
"Apr 01 18:20:09 dbserver02 useradd[5804]: new user: name=testadmin, UID=20148, GID=1256, home=/home/testadmin, shell=/bin/bash",new_user_created
Apr 01 12:52:01 dbserver02 systemd-logind[252]: New session 175 of user dave.,normal
Apr 01 13:08:41 dbserver02 CRON[9418]: pam_unix(cron:session): session opened for user alice(uid=1000) by (uid=0),normal
Apr 01 03:13:22 dbserver02 sshd[3490]: Accepted password for bob from 185.220.101.34 port 60945 ssh2,after_hours_login
Apr 01 08:01:41 dbserver02 sshd[7280]: Accepted password for dave from 192.168.1.12 port 46541 ssh2,normal
Apr 01 15:28:48 webserver01 sshd[7280]: Accepted password for carol from 192.168.1.26 port 55558 ssh2,normal
Apr 01 18:27:11 webserver01 CRON[4913]: pam_unix(cron:session): session opened for user carol(uid=1000) by (uid=0),normal
Apr 01 06:16:41 appserver03 pam_unix(sshd:session): session opened for user eve(uid=1000) by (uid=0),normal
Apr 01 18:31:34 webserver01 pam_unix(sshd:session): session opened for user alice(uid=1000) by (uid=0),normal
Apr 01 15:14:38 webserver01 systemd-logind[367]: New session 383 of user alice.,normal
Apr 01 14:15:49 dbserver02 sudo: intruder : TTY=pts/0 ; PWD=/home/intruder ; USER=root ; COMMAND=/usr/bin/passwd,privilege_escalation
Apr 01 08:06:35 webserver01 systemd-logind[557]: New session 412 of user bob.,normal
Apr 01 17:48:48 dbserver02 sshd[6578]: Accepted password for eve from 192.168.1.21 port 47983 ssh2,normal
Apr 01 20:56:53 appserver03 sshd[9912]: Accepted password for carol from 192.168.1.16 port 55784 ssh2,normal
Apr 01 15:22:16 webserver01 systemd-logind[751]: New session 400 of user alice.,normal
Apr 01 00:57:33 webserver01 sudo: scanner : TTY=pts/0 ; PWD=/home/scanner ; USER=root ; COMMAND=/usr/bin/chmod 777 /etc/passwd,privilege_escalation
Apr 01 10:13:05 webserver01 sshd[6280]: Accepted password for carol from 192.168.1.25 port 63488 ssh2,normal
Apr 01 20:02:29 webserver01 sshd[5298]: Accepted password for carol from 192.168.1.26 port 59652 ssh2,normal
Apr 01 21:05:44 webserver01 systemd-logind[238]: New session 380 of user dave.,normal
Apr 01 21:59:52 dbserver02 sshd[7979]: Accepted password for bob from 192.168.1.18 port 59362 ssh2,normal
Apr 01 10:52:16 webserver01 sshd[9653]: Accepted password for alice from 192.168.1.22 port 49415 ssh2,normal
Apr 01 12:34:09 webserver01 CRON[4385]: pam_unix(cron:session): session opened for user frank(uid=1000) by (uid=0),normal
Apr 01 22:40:33 dbserver02 systemd-logind[573]: New session 90 of user alice.,normal
Apr 01 07:11:01 webserver01 sshd[3322]: Accepted password for frank from 192.168.1.17 port 57042 ssh2,normal
Apr 01 01:52:58 webserver01 sshd[5293]: Accepted password for root from 45.33.32.156 port 47945 ssh2,root_login
Apr 01 17:22:24 dbserver02 pam_unix(sshd:session): session opened for user dave(uid=1000) by (uid=0),normal
Apr 01 20:31:31 dbserver02 sshd[1398]: Accepted password for grace from 192.168.1.23 port 44567 ssh2,normal
Apr 01 01:15:51 dbserver02 sshd[4718]: Failed password for root from 91.240.118.172 port 65305 ssh2,ssh_brute_force
Apr 01 16:10:13 webserver01 su[2503]: FAILED su for root by eve,su_failure
Apr 01 09:10:29 appserver03 pam_unix(sshd:session): session closed for user bob,normal
Apr 01 20:25:10 dbserver02 sshd[1003]: Accepted password for dave from 192.168.1.27 port 51497 ssh2,normal
Apr 01 16:12:54 dbserver02 sshd[5110]: Accepted password for carol from 192.168.1.21 port 53464 ssh2,normal
Apr 01 03:51:54 dbserver02 sshd[4962]: Accepted password for root from 185.220.101.34 port 59007 ssh2,root_login
Apr 01 06:18:28 dbserver02 sshd[6707]: Accepted password for bob from 192.168.1.12 port 45362 ssh2,normal
Apr 01 17:26:28 dbserver02 sshd[9157]: Accepted password for root from 23.129.64.210 port 40639 ssh2,root_login
Apr 01 12:47:43 dbserver02 systemd-logind[320]: New session 300 of user carol.,normal
Apr 01 06:14:11 appserver03 pam_unix(sshd:session): session closed for user carol,normal
Apr 01 06:31:48 appserver03 systemd-logind[546]: New session 341 of user alice.,normal
Apr 01 17:55:56 dbserver02 CRON[3664]: pam_unix(cron:session): session opened for user grace(uid=1000) by (uid=0),normal
Apr 01 16:26:32 dbserver02 sshd[1295]: Accepted password for grace from 192.168.1.10 port 48281 ssh2,normal
Apr 01 09:29:33 dbserver02 su[2928]: FAILED su for root by eve,su_failure
Apr 01 01:14:56 dbserver02 su[4911]: FAILED su for root by grace,su_failure
Apr 01 06:15:53 appserver03 pam_unix(sshd:session): session closed for user alice,normal
Apr 01 15:52:25 appserver03 sshd[8648]: Accepted password for carol from 192.168.1.23 port 61106 ssh2,normal
Apr 01 18:34:58 webserver01 pam_unix(sshd:session): session closed for user dave,normal
"Apr 01 20:48:52 appserver03 adduser[4147]: new user: name=backdoor, UID=20387, GID=61178, home=/home/backdoor, shell=/bin/bash",new_user_created
Apr 01 15:33:41 appserver03 pam_unix(sshd:session): session opened for user carol(uid=1000) by (uid=0),normal
Apr 01 16:37:00 appserver03 CRON[2526]: pam_unix(cron:session): session opened for user dave(uid=1000) by (uid=0),normal
Apr 01 13:07:07 appserver03 sshd[8896]: Accepted password for grace from 192.168.1.25 port 62555 ssh2,normal
Apr 01 10:19:48 dbserver02 CRON[4154]: pam_unix(cron:session): session opened for user dave(uid=1000) by (uid=0),normal
Apr 01 18:00:16 appserver03 systemd-logind[649]: New session 64 of user alice.,normal
Apr 01 03:09:57 appserver03 sshd[6401]: Accepted password for grace from 103.253.41.98 port 45289 ssh2,after_hours_login
Apr 01 22:48:47 dbserver02 sshd[2177]: Accepted password for dave from 192.168.1.14 port 40989 ssh2,normal
Apr 01 10:06:16 dbserver02 CRON[3651]: pam_unix(cron:session): session opened for user frank(uid=1000) by (uid=0),normal
Apr 01 16:17:50 webserver01 sshd[9363]: Accepted password for bob from 192.168.1.14 port 51174 ssh2,normal
Apr 01 10:36:48 appserver03 sshd[2381]: Accepted password for frank from 192.168.1.11 port 59700 ssh2,normal
Apr 01 16:43:50 webserver01 sshd[9691]: Failed password for root from 91.240.118.172 port 45470 ssh2,ssh_brute_force
Apr 01 10:27:54 dbserver02 sshd[6218]: Accepted password for frank from 192.168.1.22 port 48980 ssh2,normal
Apr 01 04:13:58 appserver03 sshd[5492]: Accepted password for eve from 192.168.1.17 port 46921 ssh2,after_hours_login
Apr 01 14:05:43 appserver03 sshd[8291]: Accepted password for root from 185.220.101.34 port 44158 ssh2,root_login
Apr 01 16:49:38 dbserver02 sudo: scanner : TTY=pts/0 ; PWD=/home/scanner ; USER=root ; COMMAND=/usr/sbin/useradd hacker2,privilege_escalation
Apr 01 18:21:48 appserver03 sshd[4298]: Accepted password for root from 103.253.41.98 port 49681 ssh2,root_login
Apr 01 13:10:25 appserver03 sshd[5861]: Accepted password for grace from 192.168.1.20 port 60817 ssh2,normal
Apr 01 12:44:12 dbserver02 sshd[7274]: Accepted password for bob from 192.168.1.24 port 57023 ssh2,normal
Apr 01 08:29:13 webserver01 systemd-logind[227]: New session 67 of user carol.,normal
Apr 01 15:04:34 dbserver02 systemd-logind[273]: New session 437 of user eve.,normal
Apr 01 18:07:14 appserver03 systemd-logind[603]: New session 405 of user frank.,normal
Apr 01 10:41:36 appserver03 pam_unix(sshd:session): session closed for user dave,normal
Apr 01 06:42:25 appserver03 pam_unix(sshd:session): session closed for user grace,normal
Apr 01 17:41:32 dbserver02 systemd-logind[243]: New session 252 of user alice.,normal
Apr 01 07:31:17 appserver03 CRON[1376]: pam_unix(cron:session): session opened for user grace(uid=1000) by (uid=0),normal
Apr 01 08:19:00 dbserver02 CRON[5668]: pam_unix(cron:session): session opened for user frank(uid=1000) by (uid=0),normal
"Apr 01 03:32:27 dbserver02 useradd[2886]: new user: name=backdoor, UID=47556, GID=47765, home=/home/backdoor, shell=/bin/bash",new_user_created
Apr 01 14:28:50 appserver03 sshd[8921]: Accepted password for bob from 192.168.1.24 port 58340 ssh2,normal
Apr 01 15:32:49 webserver01 sshd[9615]: Accepted password for bob from 192.168.1.23 port 40757 ssh2,normal
Apr 01 18:25:13 dbserver02 sshd[8480]: Accepted password for root from 198.51.100.77 port 55990 ssh2,root_login
Apr 01 22:32:11 appserver03 sshd[9613]: Accepted password for alice from 192.168.1.14 port 61862 ssh2,normal
Apr 01 08:06:13 dbserver02 sshd[5199]: Accepted password for eve from 192.168.1.18 port 46248 ssh2,normal
Apr 01 02:21:20 webserver01 sshd[6782]: Accepted password for bob from 192.168.1.13 port 48308 ssh2,after_hours_login
Apr 01 19:24:55 dbserver02 CRON[7587]: pam_unix(cron:session): session opened for user grace(uid=1000) by (uid=0),normal
Apr 01 16:36:49 appserver03 sshd[6905]: Accepted password for grace from 192.168.1.22 port 48432 ssh2,normal
Apr 01 09:10:50 dbserver02 pam_unix(sshd:session): session closed for user carol,normal
Apr 01 11:02:07 appserver03 CRON[1665]: pam_unix(cron:session): session opened for user alice(uid=1000) by (uid=0),normal
Apr 01 12:09:06 webserver01 pam_unix(sshd:session): session closed for user dave,normal
Apr 01 12:07:09 dbserver02 sshd[1063]: Accepted password for frank from 192.168.1.18 port 56784 ssh2,normal
Apr 01 14:49:56 dbserver02 sshd[6385]: Accepted password for alice from 192.168.1.28 port 63345 ssh2,normal
Apr 01 13:04:53 appserver03 pam_unix(sshd:session): session closed for user bob,normal
Apr 01 20:36:39 dbserver02 su[3148]: FAILED su for root by alice,su_failure
Apr 01 15:52:02 appserver03 pam_unix(sshd:session): session closed for user frank,normal
Apr 01 11:20:01 webserver01 sudo: hacker : TTY=pts/0 ; PWD=/home/hacker ; USER=root ; COMMAND=/usr/bin/passwd,privilege_escalation
Apr 01 11:01:43 dbserver02 sudo: scanner : TTY=pts/0 ; PWD=/home/scanner ; USER=root ; COMMAND=/usr/bin/cat /etc/shadow,privilege_escalation
Apr 01 14:32:13 webserver01 sshd[6295]: Accepted password for alice from 192.168.1.19 port 53402 ssh2,normal
Apr 01 16:52:47 appserver03 sshd[1780]: Accepted password for carol from 192.168.1.28 port 53699 ssh2,normal
Apr 01 19:50:33 appserver03 sshd[2606]: Accepted password for grace from 192.168.1.12 port 40449 ssh2,normal
Apr 01 07:46:29 webserver01 pam_unix(sshd:session): session opened for user bob(uid=1000) by (uid=0),normal
Apr 01 06:39:34 dbserver02 pam_unix(sshd:session): session opened for user eve(uid=1000) by (uid=0),normal
Apr 01 03:02:45 dbserver02 sshd[5759]: Failed password for invalid user scanner from 198.51.100.77 port 40605 ssh2,ssh_brute_force
"Apr 01 03:49:54 webserver01 adduser[8856]: new user: name=tempuser, UID=52296, GID=33514, home=/home/tempuser, shell=/bin/bash",new_user_created
Apr 01 14:19:34 appserver03 sshd[2636]: Accepted password for bob from 192.168.1.14 port 49955 ssh2,normal
Apr 01 22:29:35 webserver01 sshd[1651]: Accepted password for bob from 192.168.1.16 port 63346 ssh2,normal
Apr 01 03:16:02 webserver01 sshd[3280]: Accepted password for root from 198.51.100.77 port 46095 ssh2,root_login
Apr 01 09:43:26 webserver01 sshd[5814]: Accepted password for alice from 192.168.1.12 port 50494 ssh2,normal
Apr 01 10:08:38 webserver01 systemd-logind[188]: New session 472 of user frank.,normal
"Apr 01 09:33:47 appserver03 useradd[1515]: new user: name=backdoor, UID=26779, GID=44381, home=/home/backdoor, shell=/bin/bash",new_user_created
Apr 01 07:48:02 webserver01 CRON[3595]: pam_unix(cron:session): session opened for user alice(uid=1000) by (uid=0),normal
Apr 01 09:38:42 appserver03 sshd[8873]: Accepted password for frank from 192.168.1.15 port 60822 ssh2,normal
Apr 01 12:17:49 appserver03 su[1790]: FAILED su for root by hacker,su_failure
Apr 01 12:58:05 appserver03 sshd[1408]: Accepted password for carol from 192.168.1.11 port 54541 ssh2,normal
Apr 01 09:29:28 webserver01 sshd[9136]: Failed password for invalid user intruder from 185.220.101.34 port 64997 ssh2,ssh_brute_force
Apr 01 01:12:21 dbserver02 sshd[3194]: Accepted password for root from 23.129.64.210 port 45259 ssh2,root_login
Apr 01 04:41:24 appserver03 sshd[1560]: Accepted password for dave from 192.168.1.26 port 49177 ssh2,after_hours_login
"Apr 01 07:38:08 webserver01 useradd[4171]: new user: name=testadmin, UID=6947, GID=31808, home=/home/testadmin, shell=/bin/bash",new_user_created
Apr 01 12:02:17 appserver03 sshd[2877]: Accepted password for eve from 192.168.1.29 port 52803 ssh2,normal
Apr 01 16:03:17 dbserver02 CRON[4362]: pam_unix(cron:session): session opened for user carol(uid=1000) by (uid=0),normal
Apr 01 18:22:20 appserver03 sshd[5623]: Accepted password for root from 91.240.118.172 port 51054 ssh2,root_login
Apr 01 22:54:30 webserver01 sshd[2226]: Accepted password for alice from 192.168.1.15 port 56247 ssh2,normal
Apr 01 17:44:27 dbserver02 sshd[3572]: Accepted password for carol from 192.168.1.28 port 40509 ssh2,normal
Apr 01 06:24:50 dbserver02 su[5751]: FAILED su for root by hacker,su_failure
Apr 01 21:32:44 webserver01 sshd[5185]: Accepted password for alice from 192.168.1.16 port 59243 ssh2,normal
Apr 01 17:09:17 webserver01 sshd[9248]: Accepted password for dave from 192.168.1.16 port 59960 ssh2,normal
Apr 01 06:45:42 appserver03 sshd[3158]: Accepted password for alice from 192.168.1.25 port 47739 ssh2,normal
Apr 01 16:55:50 appserver03 su[5129]: FAILED su for root by eve,su_failure
Apr 01 13:40:53 webserver01 sshd[4930]: Accepted password for bob from 192.168.1.16 port 51754 ssh2,normal
Apr 01 12:44:55 appserver03 sshd[2576]: Accepted password for eve from 192.168.1.23 port 50670 ssh2,normal
Apr 01 13:18:09 appserver03 sshd[9102]: Accepted password for frank from 192.168.1.21 port 60595 ssh2,normal
Apr 01 17:48:33 appserver03 sshd[4036]: Accepted password for carol from 192.168.1.22 port 59123 ssh2,normal
Apr 01 16:59:19 webserver01 sshd[2331]: Accepted password for grace from 192.168.1.27 port 43657 ssh2,normal
Apr 01 12:23:00 dbserver02 sshd[2783]: Accepted password for eve from 192.168.1.11 port 41196 ssh2,normal
Apr 01 03:04:03 dbserver02 sshd[7603]: Accepted password for root from 23.129.64.210 port 63865 ssh2,root_login
Apr 01 14:06:07 dbserver02 sshd[3177]: Accepted password for grace from 192.168.1.14 port 52340 ssh2,normal
Apr 01 20:28:44 webserver01 pam_unix(sshd:session): session closed for user alice,normal
